element;interface;description;admin_status;line_protocol;bandwidth_kbit
RT-CORE-RJO-01;HundredGigE0/0/0/3;CONEXAO_COM_RT-AGGR-BHZ-01_HUNDREDGIGE0/0/0/3;UP;UP;100000
RT-CORE-RJO-01;TenGigE0/1/0/4;CONEXAO_COM_SW-DIST-RJO-01_TENGIGE0/1/0/4;UP;UP;10000
RT-CORE-RJO-01;TenGigE0/1/0/5;CONEXAO_COM_SW-DIST-RJO-02_TENGIGE0/1/0/5;UP;UP;10000
RT-CORE-RJO-01;HundredGigE0/0/0/6;CONEXAO_COM_PTT-IX-RJO-01_HUNDREDGIGE0/0/0/6;UP;UP;100000
RT-CORE-RJO-01;HundredGigE0/0/0/7;CONEXAO_COM_DW-OPT-RJO-01_HUNDREDGIGE0/0/0/7;UP;UP;100000
RT-CORE-FOR-01;Loopback0;SYSTEM_ROUTER_ID_192.0.2.4;UP;UP;1000000
RT-CORE-FOR-01;HundredGigE0/0/0/1;CONEXAO_COM_RT-CORE-BSB-01_HUNDREDGIGE0/0/0/1;UP;UP;100000
RT-CORE-FOR-01;HundredGigE0/0/0/2;CONEXAO_COM_RT-CORE-SPO-01_HUNDREDGIGE0/0/0/2;UP;UP;100000
RT-CORE-FOR-01;HundredGigE0/0/0/3;CONEXAO_COM_RT-AGGR-REC-01_HUNDREDGIGE0/0/0/3;UP;UP;100000
RT-CORE-FOR-01;TenGigE0/1/0/4;CONEXAO_COM_SW-DIST-FOR-01_TENGIGE0/1/0/4;UP;UP;10000
RT-CORE-FOR-01;HundredGigE0/0/0/5;CONEXAO_COM_PTT-IX-FOR-01_HUNDREDGIGE0/0/0/5;UP;UP;100000
RT-AGGR-POA-01;Loopback0;SYSTEM_ROUTER_ID_192.0.2.10;UP;UP;1000000
RT-AGGR-POA-01;HundredGigE0/0/0/1;CONEXAO_COM_RT-AGGR-CWB-01_HUNDREDGIGE0/0/0/1;UP;UP;100000
RT-AGGR-POA-01;TenGigE0/1/0/2;CONEXAO_COM_RT-CORE-SPO-01_TENGIGE0/1/0/2;UP;UP;10000
RT-AGGR-POA-01;TenGigE0/1/0/3;CONEXAO_COM_SW-DIST-POA-01_TENGIGE0/1/0/3;UP;UP;10000
RT-AGGR-CWB-01;Loopback0;SYSTEM_ROUTER_ID_192.0.2.11;UP;UP;1000000
RT-AGGR-CWB-01;HundredGigE0/0/0/1;CONEXAO_COM_RT-CORE-SPO-01_HUNDREDGIGE0/0/0/1;UP;UP;100000
RT-AGGR-CWB-01;HundredGigE0/0/0/2;CONEXAO_COM_RT-AGGR-POA-01_HUNDREDGIGE0/0/0/2;UP;UP;100000
RT-AGGR-CWB-01;TenGigE0/1/0/3;CONEXAO_COM_SW-DIST-CWB-01_TENGIGE0/1/0/3;UP;UP;10000
RT-AGGR-BHZ-01;Loopback0;SYSTEM_ROUTER_ID_192.0.2.12;UP;UP;1000000
RT-AGGR-BHZ-01;HundredGigE0/0/0/1;CONEXAO_COM_RT-CORE-SPO-01_HUNDREDGIGE0/0/0/1;UP;UP;100000
RT-AGGR-BHZ-01;HundredGigE0/0/0/2;CONEXAO_COM_RT-CORE-RJO-01_HUNDREDGIGE0/0/0/2;UP;UP;100000
RT-AGGR-BHZ-01;TenGigE0/1/0/3;CONEXAO_COM_RT-CORE-BSB-01_TENGIGE0/1/0/3;UP;UP;10000
RT-AGGR-BHZ-01;TenGigE0/1/0/4;CONEXAO_COM_SW-DIST-BHZ-01_TENGIGE0/1/0/4;UP;UP;10000
RT-AGGR-SSA-01;Loopback0;SYSTEM_ROUTER_ID_192.0.2.13;UP;UP;1000000
RT-AGGR-SSA-01;HundredGigE0/0/0/1;CONEXAO_COM_RT-AGGR-REC-01_HUNDREDGIGE0/0/0/1;UP;UP;100000
RT-AGGR-SSA-01;TenGigE0/1/0/2;CONEXAO_COM_RT-CORE-BSB-01_TENGIGE0/1/0/2;UP;UP;10000
RT-AGGR-SSA-01;TenGigE0/1/0/3;CONEXAO_COM_SW-DIST-SSA-01_TENGIGE0/1/0/3;UP;UP;10000
RT-AGGR-REC-01;Loopback0;SYSTEM_ROUTER_ID_192.0.2.14;UP;UP;1000000
RT-AGGR-REC-01;HundredGigE0/0/0/1;CONEXAO_COM_RT-CORE-FOR-01_HUNDREDGIGE0/0/0/1;UP;UP;100000
RT-AGGR-REC-01;HundredGigE0/0/0/2;CONEXAO_COM_RT-AGGR-SSA-01_HUNDREDGIGE0/0/0/2;UP;UP;100000
RT-AGGR-REC-01;TenGigE0/1/0/3;CONEXAO_COM_SW-DIST-REC-01_TENGIGE0/1/0/3;UP;UP;10000
RT-AGGR-BEL-01;Loopback0;SYSTEM_ROUTER_ID_192.0.2.15;UP;UP;1000000
RT-AGGR-BEL-01;HundredGigE0/0/0/1;CONEXAO_COM_RT-CORE-BSB-01_HUNDREDGIGE0/0/0/1;UP;UP;100000
RT-AGGR-BEL-01;TenGigE0/1/0/2;CONEXAO_COM_RT-AGGR-MAO-01_TENGIGE0/1/0/2;UP;UP;10000
RT-AGGR-MAO-01;Loopback0;SYSTEM_ROUTER_ID_192.0.2.16;UP;UP;1000000
RT-AGGR-MAO-01;TenGigE0/1/0/1;CONEXAO_COM_RT-CORE-BSB-01_TENGIGE0/1/0/1;UP;UP;10000
RT-AGGR-MAO-01;TenGigE0/1/0/2;CONEXAO_COM_RT-AGGR-BEL-01_TENGIGE0/1/0/2;UP;UP;10000
RT-AGGR-CGB-01;Loopback0;SYSTEM_ROUTER_ID_192.0.2.17;UP;UP;1000000
RT-AGGR-CGB-01;HundredGigE0/0/0/1;CONEXAO_COM_RT-CORE-BSB-01_HUNDREDGIGE0/0/0/1;UP;UP;100000
RT-AGGR-CGB-01;TenGigE0/1/0/2;CONEXAO_COM_RT-CORE-SPO-01_TENGIGE0/1/0/2;UP;UP;10000
SW-DIST-SPO-01;Loopback0;SYSTEM_ROUTER_ID_198.51.100.20;UP;UP;1000000
SW-DIST-SPO-01;TenGigE0/1/0/1;CONEXAO_COM_RT-CORE-SPO-01_TENGIGE0/1/0/1;UP;UP;10000
SW-DIST-SPO-02;Loopback0;SYSTEM_ROUTER_ID_198.51.100.21;UP;UP;1000000
SW-DIST-SPO-02;TenGigE0/1/0/1;CONEXAO_COM_RT-CORE-SPO-01_TENGIGE0/1/0/1;UP;UP;10000
SW-DIST-RJO-01;Loopback0;SYSTEM_ROUTER_ID_198.51.100.22;UP;UP;1000000
SW-DIST-RJO-01;TenGigE0/1/0/1;CONEXAO_COM_RT-CORE-RJO-01_TENGIGE0/1/0/1;UP;UP;10000
SW-DIST-RJO-02;Loopback0;SYSTEM_ROUTER_ID_198.51.100.23;UP;UP;1000000
SW-DIST-RJO-02;TenGigE0/1/0/1;CONEXAO_COM_RT-CORE-RJO-01_TENGIGE0/1/0/1;UP;UP;10000
SW-DIST-BSB-01;Loopback0;SYSTEM_ROUTER_ID_198.51.100.24;UP;UP;1000000
SW-DIST-BSB-01;TenGigE0/1/0/1;CONEXAO_COM_RT-CORE-BSB-01_TENGIGE0/1/0/1;UP;UP;10000
SW-DIST-BSB-02;Loopback0;SYSTEM_ROUTER_ID_198.51.100.25;UP;UP;1000000
SW-DIST-BSB-02;TenGigE0/1/0/1;CONEXAO_COM_RT-CORE-BSB-01_TENGIGE0/1/0/1;UP;UP;10000
SW-DIST-POA-01;Loopback0;SYSTEM_ROUTER_ID_198.51.100.26;UP;UP;1000000
SW-DIST-POA-01;TenGigE0/1/0/1;CONEXAO_COM_RT-AGGR-POA-01_TENGIGE0/1/0/1;UP;UP;10000
SW-DIST-CWB-01;Loopback0;SYSTEM_ROUTER_ID_198.51.100.27;UP;UP;1000000
SW-DIST-CWB-01;TenGigE0/1/0/1;CONEXAO_COM_RT-AGGR-CWB-01_TENGIGE0/1/0/1;UP;UP;10000
SW-DIST-BHZ-01;Loopback0;SYSTEM_ROUTER_ID_198.51.100.28;UP;UP;1000000
SW-DIST-BHZ-01;TenGigE0/1/0/1;CONEXAO_COM_RT-AGGR-BHZ-01_TENGIGE0/1/0/1;UP;UP;10000
SW-DIST-SSA-01;Loopback0;SYSTEM_ROUTER_ID_198.51.100.29;UP;UP;1000000
SW-DIST-SSA-01;TenGigE0/1/0/1;CONEXAO_COM_RT-AGGR-SSA-01_TENGIGE0/1/0/1;UP;UP;10000
SW-DIST-REC-01;Loopback0;SYSTEM_ROUTER_ID_198.51.100.30;UP;UP;1000000
SW-DIST-REC-01;TenGigE0/1/0/1;CONEXAO_COM_RT-AGGR-REC-01_TENGIGE0/1/0/1;UP;UP;10000
SW-DIST-FOR-01;Loopback0;SYSTEM_ROUTER_ID_198.51.100.31;UP;UP;1000000
SW-DIST-FOR-01;TenGigE0/1/0/1;CONEXAO_COM_RT-CORE-FOR-01_TENGIGE0/1/0/1;UP;UP;10000
PTT-IX-SPO-01;Loopback0;SYSTEM_ROUTER_ID_203.0.113.50;UP;UP;1000000
PTT-IX-SPO-01;HundredGigE0/0/0/1;CONEXAO_COM_RT-CORE-SPO-01_HUNDREDGIGE0/0/0/1;UP;UP;100000
PTT-IX-FOR-01;Loopback0;SYSTEM_ROUTER_ID_203.0.113.51;UP;UP;1000000
PTT-IX-FOR-01;HundredGigE0/0/0/1;CONEXAO_COM_RT-CORE-FOR-01_HUNDREDGIGE0/0/0/1;UP;UP;100000
PTT-IX-RJO-01;Loopback0;SYSTEM_ROUTER_ID_203.0.113.52;UP;UP;1000000
PTT-IX-RJO-01;HundredGigE0/0/0/1;CONEXAO_COM_RT-CORE-RJO-01_HUNDREDGIGE0/0/0/1;UP;UP;100000
DW-OPT-SPO-01;Loopback0;SYSTEM_ROUTER_ID_203.0.113.60;UP;UP;1000000
DW-OPT-SPO-01;HundredGigE0/0/0/1;CONEXAO_COM_RT-CORE-SPO-01_HUNDREDGIGE0/0/0/1;UP;UP;100000
DW-OPT-RJO-01;Loopback0;SYSTEM_ROUTER_ID_203.0.113.61;UP;UP;1000000
DW-OPT-RJO-01;HundredGigE0/0/0/1;CONEXAO_COM_RT-CORE-RJO-01_HUNDREDGIGE0/0/0/1;UP;UP;100000
DW-OPT-BSB-01;Loopback0;SYSTEM_ROUTER_ID_203.0.113.62;UP;UP;1000000
DW-OPT-BSB-01;HundredGigE0/0/0/1;CONEXAO_COM_RT-CORE-BSB-01_HUNDREDGIGE0/0/0/1;UP;UP;100000
